GSE63874_Na_PDS_12_both	37.3970337488108	35.4259769023608	38.9100951432577	36.179079403605	37.0853151743141	32.2662568818112	40.7084349285142	31.4092902697628	31.8409943542942	21.3507094158292
wgEncodeBroadHistoneNhekCtcfStdSig.bigWig	28.2748002600523	27.2029619138514	24.351419357477	24.5705492362687	27.2561440326413	26.9529394351544	29.259038383424	26.3585531646464	24.1895028168216	25.6997450190301
wgEncodeBroadHistoneNhekH3k09me3Sig.bigWig	31.1214637643483	29.7274071199217	32.3410820427239	29.3902901303521	30.1797133625782	30.4832491963237	35.5073532683129	33.0636395290133	29.9235699059678	32.1804397873299
wgEncodeBroadHistoneNhekH3k27acStdSig.bigWig	23.4020719417266	13.5856314767231	14.9233471266923	17.3661977507128	18.8081784108987	18.55492801616	16.4463417998954	21.3456347623122	24.453549085829	18.9571113603205
wgEncodeBroadHistoneNhekH3k27me3StdSig.bigWig	19.0424730794033	18.0287764531373	16.8859953063106	20.9549129869505	17.7224691016555	22.8034545225185	17.9678177626342	19.0590506303611	16.4502923485493	20.9865126067353
wgEncodeBroadHistoneNhekH3k36me3StdSig.bigWig	23.3556315368784	21.9625950036831	17.7610295674507	21.6641317156329	24.8068035022012	24.4852107187328	22.9854261650991	22.1994419276404	24.8615494685895	22.0818967482732
wgEncodeBroadHistoneNhekH3k4me3StdSig.bigWig	23.5618587110895	23.5087007113238	21.7090784370767	19.3059075541478	18.838390259732	23.6057609581159	24.7740082661658	22.7646844132269	24.5663687981743	22.6373657740952
wgEncodeBroadHistoneNhekPol2bStdSig.bigWig	30.474847922877	33.2805902174834	34.5730349174158	33.93693603466	32.9581510714789	37.9161249961693	36.6978263703488	35.1703617874886	34.6044880664618	35.9038077397352
wgEncodeOpenChromDnaseNhekSig.bigWig	45.5699871915898	47.4445978461781	42.5426490760568	44.9189589654829	44.3889292875327	49.5043412795895	46.5422478608846	46.3572737538286	46.1815992852636	48.1662260562948
wgEncodeRegTxnCaltechRnaSeqNhekR2x75Il200SigPooled	4.97555714711285	9.88165877316983	4.90070937502026	3.80946426014905	9.44805925194177	7.52970732897754	8.61687110846509	4.89449599715504	7.97104695785497	7.75358857661306
wgEncodeUwRepliSeqNhekSumSignalRep1.bigWig	52.5394437782277	50.4155834504255	55.4960193807471	55.5205250957366	58.5776249610044	54.1323008248111	51.3290640453771	51.2359005588715	53.0739974655121	46.6467772216927
